index,cate,disease_name,description,Possible_steps,image_url,cate_img
10,Corn,Bệnh bạc lá phía Bắc,"Bệnh bạc lá ngô miền Bắc (NCLB) do nấm Setosphaeria turcica gây ra. Các triệu chứng thường xuất hiện đầu tiên ở lá dưới. Các tổn thương trên lá dài (1 đến 6 inch) và hình elip, lúc đầu màu xanh xám nhưng sau đó chuyển sang màu xám nhạt hoặc nâu. Trong điều kiện ẩm ướt, các bào tử màu xám đen được tạo ra, thường ở bề mặt lá dưới, làm cho các tổn thương có màu xám ""bẩn"". Toàn bộ lá trên cây bị tàn phá nghiêm trọng có thể chết, do đó không nhìn thấy các tổn thương riêng lẻ. Các tổn thương có thể xảy ra ở vỏ trấu bên ngoài của tai, nhưng hạt nhân không bị nhiễm trùng. Trên các giống lai có chứa gen Ht để kháng nấm, các tổn thương nhỏ hơn, úa vàng và có thể phát triển thành các vệt tuyến tính. Những tổn thương này hiếm khi tạo ra bào tử.","Sử dụng thuốc diệt nấm làm giảm thiệt hại do bệnh bạc lá ngô miền Bắc và năng suất được bảo vệ. Giá trị thuốc diệt nấm cao hơn trong việc giảm năng suất ở các giống ngô lai mẫn cảm. Thuốc diệt nấm có hiệu quả nhất nếu chúng được áp dụng khi khởi phát bệnh. Bệnh khởi phát khác nhau trong các giai đoạn tăng trưởng, và do đó giai đoạn tốt nhất để áp dụng thuốc diệt nấm.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg,
11,Corn, Healthy,"Cây ngô thích nhiệt độ ban ngày từ 75 đến 80 độ F và 65 đến 70 độ F vào ban đêm. Đất cần được giữ ẩm liên tục, nhưng không bị sũng nước và chúng chỉ cần phân bón 6 tháng một lần. Mặc dù dracaena có thể mất điều kiện ánh sáng yếu, nhưng chúng hoạt động tốt nhất khi được đặt trong ánh sáng mạnh nhưng gián tiếp. Nó chỉ là tự nhiên cho một cây để sản xuất một vài lá vàng, nó không có gì để báo động. Tuy nhiên, nếu nó tạo ra nhiều lá vàng cùng một lúc, giả sử năm hoặc sáu, bạn có thể tưới nước quá nhiều hoặc cây có thể bị thiếu ánh sáng.","Ngô có một số lợi ích sức khỏe. Do hàm lượng chất xơ cao, nó có thể hỗ trợ tiêu hóa. Nó cũng chứa các vitamin B có giá trị, rất quan trọng đối với sức khỏe tổng thể của bạn. Ngô cũng cung cấp cho cơ thể chúng ta các khoáng chất thiết yếu như kẽm, magiê, đồng, sắt và mangan.",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg,
12,Grape,Thối đen,"Bệnh thối đen nho là một bệnh nấm gây ra bởi một loại nấm ascomycetous, Guignardia bidwellii, tấn công cây nho trong thời tiết nóng ẩm. ""Bệnh thối đen nho có nguồn gốc từ miền đông Bắc Mỹ, nhưng hiện nay xảy ra ở các khu vực của châu Âu, Nam Mỹ và châu Á. Nó có thể gây mất mùa hoàn toàn ở vùng khí hậu ấm áp, ẩm ướt, nhưng hầu như không được biết đến ở những vùng có mùa hè khô cằn. Tên này xuất phát từ rìa đen giáp với các mảng nâu mọc trên lá. Bệnh cũng tấn công các bộ phận khác của cây, ""tất cả các phần màu xanh của cây nho: chồi, lá và thân quả, tua và quả. Hậu quả tai hại nhất là đối với trái cây""","Mancozeb có sẵn dưới dạng thuốc diệt nấm BONIDE MANCOZEB FLOWABLE. Nó chứa 37% Mancozeb và rất hiệu quả để kiểm soát bệnh thối đen. Nova (myclobutanil) có sẵn trong IMMUNOX FUNGICIDE. Nó là 1,55% myclobutanil và có hiệu quả để kiểm soát bệnh thối đen.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg,https://i.imgur.com/KcI6GDc.png
13,Grape,Esca | Bệnh sởi đen,"Bệnh sởi nho, còn được gọi là esca, sởi đen hoặc sởi Tây Ban Nha, từ lâu đã gây khó khăn cho người trồng nho với biểu hiện khó hiểu của các triệu chứng và, trong một thời gian dài, thiếu (các) sinh vật gây bệnh có thể xác định được. Cái tên 'sởi' dùng để chỉ những đốm bề mặt được tìm thấy trên quả (Hình 1). Trong mùa, các đốm có thể kết lại trên bề mặt da, làm cho quả mọng có màu đen. Đốm có thể phát triển bất cứ lúc nào giữa bộ quả và một vài ngày trước khi thu hoạch. Quả mọng bị ảnh hưởng ở bộ quả có xu hướng không trưởng thành và sẽ co lại và khô. Ngoài đốm, trái cây bị ảnh hưởng vào cuối mùa cũng sẽ có vị chát. Các triệu chứng trên lá được đặc trưng bởi mô hình 'sọc hổ' (Hình lá 2 đáy) khi nhiễm trùng nghiêm trọng từ năm này sang năm khác. Nhiễm trùng nhẹ có thể gây ra các triệu chứng trên lá (Hình 2 lá trên) có thể bị nhầm lẫn với các bệnh khác hoặc thiếu hụt dinh dưỡng. Các giống màu trắng sẽ hiển thị các khu vực bị nhiễm clo sau đó là hoại tử, trong khi các giống màu đỏ là đặc trưng của ...","Cho đến nay không có phương pháp hiệu quả để kiểm soát căn bệnh này. Loại bỏ các loại quả mọng, lá và thân cây bị nhiễm bệnh và tiêu diệt chúng. Bảo vệ vết thương mận khô để giảm thiểu nhiễm nấm bằng cách sử dụng keo dán vết thương (5% axit boric trong sơn acrylic) hoặc tinh dầu hoặc thuốc diệt nấm thích hợp.",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg,
14,Grape,Bệnh bạc lá | Bệnh đốm lá Isariopsis,"Nấm là một mầm bệnh bắt buộc có thể tấn công tất cả các phần màu xanh của cây nho. Các triệu chứng của bệnh này thường bị nhầm lẫn với các triệu chứng của bệnh phấn trắng. Lá bị nhiễm bệnh phát triển các tổn thương màu vàng xanh nhạt, dần dần chuyển sang màu nâu. Lá bị nhiễm bệnh nặng thường rụng sớm. Cuống lá, tua và chồi bị nhiễm bệnh thường cuộn tròn, phát triển kẻ gian của người chăn cừu, và cuối cùng chuyển sang màu nâu và chết. Quả non rất dễ bị nhiễm trùng và thường được bao phủ bởi cấu trúc đậu quả màu trắng của nấm. Những quả mọng già bị nhiễm bệnh của các giống màu trắng có thể chuyển sang màu xanh xám xỉn, trong khi những quả của các giống màu đen chuyển sang màu đỏ hồng.","Áp dụng thuốc xịt không hoạt động để giảm mức độ tiêm chủng. Cắt nó ra.  Mở tán cây đó ra. Đừng buông lỏng sự phòng thủ của bạn. Hướng đạo sớm, trinh sát thường xuyên. Sử dụng thuốc diệt nấm bảo vệ và toàn thân. Xem xét kháng thuốc diệt nấm. Xem thời tiết.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg,
15,Grape, Healthy,Chỉ áp dụng nước cho vùng rễ. Tránh để lá nho bị ướt vì điều này có thể khuyến khích nhiều bệnh nho. Giảm tưới nước cho cây nho non vào mùa thu để khuyến khích cây cứng lại để chuẩn bị cho mùa đông. Dây leo già hiếm khi cần tưới nước trừ khi trên đất cát hoặc đất thoát nước rất tốt khác.,"Chứa nhiều chất dinh dưỡng, đặc biệt là vitamin C và K. Hàm lượng chất chống oxy hóa cao có thể ngăn ngừa các bệnh mãn tính. Các hợp chất thực vật có thể bảo vệ chống lại một số loại ung thư.  Có lợi cho sức khỏe tim mạch theo nhiều cách ấn tượng khác nhau. Có thể làm giảm lượng đường trong máu và bảo vệ chống lại bệnh tiểu đường.",https://images.indianexpress.com/2021/02/grapes-1200.jpg,
16,Orange,Haunglongbing | Phủ xanh cam quýt,"Bệnh xanh lá cây có múi là một bệnh của cây có múi do mầm bệnh lây truyền qua véc tơ. HLB được phân biệt bởi các triệu chứng phổ biến của màu vàng của tĩnh mạch và các mô lân cận; tiếp theo là lốm đốm loang lổ toàn bộ lá, rụng lá sớm, cành cây chết, sâu răng của rễ trung chuyển và rễ bên, và suy giảm sức sống, cuối cùng là cái chết của toàn bộ cây. Cây bị ảnh hưởng có sự phát triển còi cọc, mang nhiều hoa trái mùa (hầu hết trong số đó rụng) và tạo ra quả nhỏ, có hình dạng không đều với vỏ dày, nhợt nhạt vẫn còn xanh ở phía dưới và có vị rất đắng. Các triệu chứng phổ biến thường có thể bị nhầm lẫn với sự thiếu hụt chất dinh dưỡng; Tuy nhiên, yếu tố phân biệt giữa sự thiếu hụt chất dinh dưỡng là mô hình đối xứng. Sự thiếu hụt chất dinh dưỡng có xu hướng đối xứng dọc theo rìa gân lá, trong khi HLB có màu vàng không đối xứng xung quanh gân lá. Triệu chứng đáng chú ý nhất của HLB là màu xanh lá cây và còi cọc của quả, đặc biệt là sau khi chín","Cách duy nhất để ngăn chặn sự lây lan của bệnh xanh lá cây có múi là kiểm soát ACP (Rầy chổng cánh châu Á). Vì cam quýt là một loại cây vườn phổ biến và được trồng rộng rãi, chủ nhà đang ở tuyến đầu của trận chiến quan trọng này. Xịt cây chanh bằng thuốc trừ sâu dầu Neem, cả mặt trên và mặt dưới của tán lá. Bạn có thể cần phải lặp lại trong 10-14 ngày, tùy thuộc vào mức độ phá hoại. Theo dõi bằng cách xử lý sự phát triển của nấm mốc bằng thuốc diệt nấm đồng lỏng.",https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg,https://i.imgur.com/dvFSMXu.png
17,Peach,đốm vi khuẩn,"Bệnh đốm vi khuẩn là một bệnh quan trọng của đào, xuân đào, mơ và mận do Xanthomonas campestris pv gây ra. pruni. Các triệu chứng của bệnh này bao gồm đốm quả, đốm lá và thối cành. Các triệu chứng của trái cây bao gồm rỗ, nứt, nứt và mô ngâm nước, có thể làm cho trái cây dễ bị thối nâu, rhizopus và các bệnh nhiễm nấm khác. Nhiễm bệnh đốm lá nghiêm trọng có thể gây rụng lá sớm. Rụng lá nghiêm trọng có thể dẫn đến giảm kích thước quả, cháy nắng và nứt quả. Cây rụng lá sớm bị giảm sức sống và độ cứng của mùa đông.","Các triệu chứng quả của đốm vi khuẩn có thể bị nhầm lẫn với bệnh ghẻ đào, gây ra bởi nấm Cladosporium carpophyllium, tuy nhiên các đốm ghẻ có hình tròn hơn, có màu nâu sẫm / xanh lục, mờ và không làm mờ bề mặt quả, mặc dù có thể xảy ra nứt da. Bệnh ghẻ không gây ra các triệu chứng trên lá nhưng có thể gây ra các đốm trên cành cây. Các đốm quả ban đầu của đốm vi khuẩn có thể bề ngoài nhưng phát triển thành miệng hố.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg,https://i.imgur.com/om7dtUL.png
18,Peach, Healthy,"Cây đào mọc ở Khu vực USDA 5 đến 8 hoặc 9, và chúng có sẵn ở kích thước lùn hoặc tiêu chuẩn, khiến chúng trở thành lựa chọn tuyệt vời cho các vườn cây ăn quả ở sân sau. Không giống như hầu hết các loại cây cảnh, cây đào cần được cắt tỉa, bón phân và phun thuốc thường xuyên để giữ sức khỏe và năng suất. Giữ cho mặt đất xung quanh cây của bạn không có cỏ và cỏ dại sẽ cạnh tranh nước và chất dinh dưỡng, và mùn một cách hào phóng.",Đóng gói với các chất dinh dưỡng và chất chống oxy hóa.  Có thể hỗ trợ tiêu hóa.  Có thể cải thiện sức khỏe tim mạch.  Có thể bảo vệ làn da của bạn. Có thể ngăn ngừa một số loại ung thư. Có thể làm giảm các triệu chứng dị ứng. Có sẵn rộng rãi và dễ dàng để thêm vào chế độ ăn uống của bạn.,https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg,
19,Pepper bell,đốm vi khuẩn,"Các đốm lá xuất hiện ở mặt dưới của lá già là nhỏ, nổi mụn và ở bề mặt lá phía trên như những đốm nhỏ ngâm nước là triệu chứng của đốm vi khuẩn. Đây là một bệnh tiêu quan trọng ở Maryland. Nó cũng thỉnh thoảng tấn công cà chua. Cuối cùng, các đốm phát triển trung tâm màu xám đến nâu với đường viền tối hơn. Các tổn thương lan rộng trong thời tiết ấm áp, ẩm ướt. Lá sau đó có thể chuyển sang màu vàng, sau đó nâu và rụng. Các tổn thương cũng có thể phát triển trên thân cây. Trái cây phát triển những đốm nhỏ, nổi lên thô ráp không ảnh hưởng đến chất lượng ăn uống. Lá bị nhiễm bệnh nặng sẽ rụng dẫn đến bỏng nắng. Bệnh đốm lá do vi khuẩn lây lan do mưa bắn tung tóe và làm việc với cây ướt, bị nhiễm bệnh. Bệnh này có thể làm rụng lá cây trong thời tiết ẩm ướt. Thời tiết nóng, khô làm chậm sự lây lan của căn bệnh này. Bệnh có thể xâm nhập vào hạt giống hoặc cấy ghép và có thể đan xen trong tàn dư cây trồng và đất.",Chọn giống kháng bệnh Mua hạt giống và cấy ghép sạch bệnh. Xử lý hạt giống bằng cách ngâm chúng trong 2 phút trong dung dịch tẩy clo 10% (1 phần thuốc tẩy; 9 phần nước). Rửa kỹ hạt giống và lau khô trước khi trồng. Phủ sâu cây bằng vật liệu hữu cơ dày như giấy báo phủ rơm hoặc cắt cỏ. Tránh tưới nước trên cao. Loại bỏ và loại bỏ các bộ phận của cây bị nhiễm bệnh nặng và tất cả các mảnh vụn vào cuối mùa. Xịt mỗi 10-14 ngày bằng đồng cố định (thuốc diệt nấm hữu cơ) để làm chậm sự lây lan của nhiễm trùng. Xoay ớt đến một vị trí khác nếu nhiễm trùng nghiêm trọng và phủ đất bằng lớp phủ nhựa đen hoặc vải cảnh quan màu đen trước khi trồng.,https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg,https://i.imgur.com/hbvQfc7.png
20,Pepper bell, Healthy,"Ớt chuông đỏ, cam và vàng có đầy đủ các lợi ích sức khỏe tuyệt vời - chúng chứa nhiều vitamin và ít calo! Chúng là một nguồn tuyệt vời của vitamin A, vitamin C và kali. Ớt chuông cũng chứa một lượng chất xơ, folate và sắt lành mạnh."," Giữ ớt chuông tưới nước tốt, nhưng không bao giờ để đất sũng nước. Nước để làm ẩm đất sâu khoảng 6 inch, sau đó để khô nhẹ. Tưới nước đặc biệt quan trọng trong quá trình đậu quả, khi những quả ớt nhỏ thay thế cho hoa và khi chuông trưởng thành. Độ ẩm phù hợp giúp ớt săn chắc và khỏe mạnh.",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg,
21,Potato,Bệnh sương mai,"Ở hầu hết các khu vực sản xuất, bệnh bạc lá sớm xảy ra hàng năm ở một mức độ nào đó. Mức độ nghiêm trọng của bệnh bạc lá sớm phụ thuộc vào tần suất ẩm ướt của lá do mưa, sương hoặc tưới tiêu; tình trạng dinh dưỡng của tán lá; và tính nhạy cảm với cây trồng. Các triệu chứng đầu tiên của bệnh bạc lá sớm xuất hiện dưới dạng các đốm nhỏ, tròn hoặc không đều, màu nâu sẫm đến đen trên lá già (dưới). Những đốm này mở rộng đường kính lên đến 3/8 inch và dần dần có thể trở thành hình dạng góc cạnh. Các tổn thương ban đầu trên lá non, mở rộng hoàn toàn có thể bị nhầm lẫn với tổn thương đốm nâu. Những tổn thương đầu tiên này xuất hiện khoảng hai đến ba ngày sau khi nhiễm trùng, với sự bào tử hơn nữa trên bề mặt của các tổn thương này xảy ra ba đến năm ngày sau đó.",Điều trị bệnh bạc lá sớm bao gồm phòng ngừa bằng cách trồng các giống khoai tây có khả năng kháng bệnh; Trưởng thành muộn có khả năng chống chịu tốt hơn các giống trưởng thành sớm. Tránh tưới trên cao và cho phép sục khí đầy đủ giữa các cây để cho phép tán lá khô càng nhanh càng tốt.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg,https://i.imgur.com/1WZygaH.png
